what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1365249092046
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1365249092046
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1365249092111
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1365249092137
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1365249092214
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1365249092245
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1365249092316
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1365249092347
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1365249092367
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1365249092402
started,bundle,FlexPrettyPrintCommand,0.8.9,"FlexPrettyPrintCommand",1365249092434
started,bundle,org.jboss.tools.common,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common",1365249092542
started,bundle,org.jboss.tools.common.model,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common.model",1365249092681
os,sysinfo,,,"macosx",1365249092684
arch,sysinfo,,,"x86",1365249092684
ws,sysinfo,,,"cocoa",1365249092684
locale,sysinfo,,,"en_US",1365249092684
processors,sysinfo,,,"4",1365249092684
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1365249092684
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-10M3909",1365249092684
java.specification.name,sysinfo,,,"Java Platform API Specification",1365249092684
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365249092684
java.specification.version,sysinfo,,,"1.6",1365249092684
java.vendor,sysinfo,,,"Apple Inc.",1365249092684
java.version,sysinfo,,,"1.6.0_37",1365249092684
java.vm.info,sysinfo,,,"mixed mode",1365249092684
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1365249092684
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365249092684
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365249092684
java.vm.specification.version,sysinfo,,,"1.0",1365249092684
java.vm.vendor,sysinfo,,,"Apple Inc.",1365249092684
java.vm.version,sysinfo,,,"20.12-b01-434",1365249092684
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1365249092739
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1365249093076
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1365249093111
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1365249093126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365249165563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365249169144
started,bundle,org.python.pydev.core,2.4.0.2012020116,"org.python.pydev.core",1365249169588
started,bundle,com.python.pydev.analysis,2.4.0.2012020116,"com.python.pydev.analysis",1365249170034
started,bundle,org.python.pydev,2.4.0.2012020116,"org.python.pydev",1365249170123
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1365249170659
started,bundle,org.python.pydev.red_core,2.4.0.2012020116,"org.python.pydev.red_core",1365249170943
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1365249171628
opened,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1365249172778
activated,perspective,org.python.pydev,2.4.0.2012020116,"org.python.pydev.ui.PythonPerspective",1365249172804
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1365249172829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1365249172865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1365249172865
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1365249176645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365249190600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365249225049
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365249225184
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1365249225798
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1365249225858
started,bundle,com.adobe.flexide.as.core,4.6.0.325268,"com.adobe.flexide.as.core",1365249225984
started,bundle,com.adobe.flexide.mxml.core,4.6.0.325268,"com.adobe.flexide.mxml.core",1365249226170
started,bundle,com.adobe.flexbuilder.as.editor,4.6.0.325268,"com.adobe.flexbuilder.as.editor",1365249226357
started,bundle,com.adobe.flexbuilder.mxml.editor,4.6.0.325268,"com.adobe.flexbuilder.mxml.editor",1365249226431
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1365249226676
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1365249226736
